,,,,,,
,Item,Cost (gp),,,,
,Backpack,5,,,,
,Barrel,1,,,,
,Bedroll,2,,,,
,Bell (miniature),1,,,,
,Belt pouch,1,,,,
,Block and tackle,5,,,,
,"Box (iron, large)",30,,,,
,"Box (iron, small)",10,,,,
,Caltrops (bag of 20),1,,,,
,Candles (10),1,,,,
,Chain (10'),30,,,,
,Chalk (10 sticks),1,,,,
,"Chest (wooden, large)",5,,,,
,"Chest (wooden, small)",1,,,,
,Chisel,2,,,,
,Cooking pots,3,,,,
,Crowbar,10,,,,
,Firewood (bundle),1,,,,
,Fishing rod and tackle,4,,,,
,Garlic,5,,,,
,Grappling hook,25,,,,
,Hammer (small),2,,,,
,Holy symbol (gold),100,,,,
,Holy symbol (silver),25,,,,
,Holy symbol (wooden),1,,,,
,Holy water (vial),25,,,,
,Ink (vial),1,,,,
,Iron spikes (12),1,,,,
,"Ladder (wooden, 10')",5,,,,
,Lantern,10,,,,
,"Lantern, bullseye",20,,,,
,Lock,20,,,,
,Magnifying glass,3,,,,
,Manacles,15,,,,
,Marbles (bag of 20),1,,,,
,Mining pick,3,,,,
,"Mirror (hand-sized, steel)",5,,,,
,Musical instrument (string),20,,,,
,Musical instrument (wind),5,,,,
,Oil (1 flask),2,,,,
,Paper/parchment (2 sheets),1,,,,
,"Pole (10' long, wooden)",1,,,,
,Quill,1,,,,
,"Rations (iron, 7 days)",15,,,,
,"Rations (standard, 7 days)",5,,,,
,Rope (50'),1,,,,
,Sack (large),2,,,,
,Sack (small),1,,,,
,Saw,1,,,,
,Scroll case,1,,,,
,Sledgehammer,5,,,,
,Spade or shovel,2,,,,
,Stakes (3) and mallet,3,,,,
,Tent,20,,,,
,Thieves' tools,25,,,,
,Tinder box (flint & steel),3,,,,
,Torches (6),1,,,,
,Twine (100' ball),1,,,,
,Vial (glass),1,,,,
,Waterskin,1,,,,
,Whistle,1,,,,
,Wine (2 pints),1,,,,
,Wolfsbane (1 bunch),10,,,,
